Time,Distance
13740,3.28563
13750,2.07926
13760,1.88102
13770,1.7202
13780,1.6083
13790,0.343513
13800,0
13810,0.0523555
13820,0.104718
13830,0.157073
13840,0.20944
13850,0.261789
13860,2.95327
13870,2.98955
13880,3.02629
13890,2.33907
13900,2.38553
13910,5.13202
13920,4.86686
13930,6.09942
13940,5.11611
13950,3.73599
13960,3.75251
13970,3.76964
13980,6.35169
13990,6.35561
14000,6.3599
14010,6.36455
14020,6.36958
14030,6.37496
14040,6.22771
14050,6.2464
14060,6.26542
14070,6.28475
14080,5.14765
14090,6.32438
14100,0
14110,0.111964
14120,0.223933
14130,0.335889
14140,0.44784
14150,0.559781
14160,0.671708
14170,0.78362
14180,0.895521
14190,0.715715
14200,2.12262
14210,2.02643
14220,1.9317
14230,1.83866
14240,1.74759
14250,1.65881
14260,1.57274
14270,1.48984
14280,2.70725
14290,3.09249
14300,3.1364
14310,3.18325
14320,2.12386
14330,4.39531
14340,2.68119
14350,2.79237
14360,2.16435
14370,0.335895
14380,0.223929
14390,0.111966
14400,0
14410,0.0355428
14420,0.07109
14430,0.106637
14440,0.142171
14450,0.17772
14460,0.213252
14470,0.248799
14480,0.28434
14490,0.31987
14500,0.355408
14510,0.390945
14520,0.426478
14530,3.38535
14540,3.39674
14550,3.40835
14560,1.65596
14570,1.66675
14580,1.67812
14590,1.69005
14600,1.70254
14610,1.71557
14620,1.72913
14630,1.74321
14640,1.75778
14650,2.3957
14660,1.84961
14670,1.86977
14680,2.68488
14690,0.035541
14700,0
14710,0
14720,1.0656
14730,1.0656
14740,1.93335
14750,1.93335
14760,3.34724
14770,1.93335
14780,1.93335
14790,1.93335
14800,1.93335
14810,1.93335
14820,1.93335
14830,3.34723
14840,3.34723
14850,3.34723
14860,3.34723
14870,3.34723
14880,3.34723
14890,3.34723
14900,3.34723
14910,3.34723
14920,3.34723
14930,3.34723
14940,3.34723
14950,3.91844
14960,3.91844
14970,3.91844
14980,3.91844
14990,3.91844
